query;find_id;session_id;position;same_video
"small greyish fish lying on grey sand";91;1DD5zvg_;94;1
"small sea perch lying on grey sand";91;1DD5zvg_;66;1
"rounded fish with small prickles";97;1DD5zvg_;7843;0
"purcupinefish, greenish photo";97;1DD5zvg_;1660;0
"sea dragon looking like palm";105;1DD5zvg_;2;1
"a lot of striped black and white fishes and yellow fish";193;1DD5zvg_;188;0
"a lot of striped black and white butterflyfish and yellowtail fish in light blue water";193;1DD5zvg_;125;0
"diver face";317;1DD5zvg_;24;1
"a lot of banded butterflyfishes in light blue water";362;1DD5zvg_;137;1
"light blue photo of banded butterflyfishes and threespot damselfishes";362;1DD5zvg_;262;1
"light blue photo of black and white striped fishes and one black fish";426;1DD5zvg_;25;1
"brain coral in purplish photo";791;1DD5zvg_;8;1
"leaf coral in greenish photo";811;1DD5zvg_;91;1
"ivory bush coral in greenish photo";811;1DD5zvg_;23;1
"net lying on rocks in greenish photo";1337;1DD5zvg_;2;1
"bright yellow corals";1419;1DD5zvg_;38;1
"purplish bush coral on rocks";1623;1DD5zvg_;85;0
"small purplish bush coral on rocks";1623;1DD5zvg_;35;1
"whitish leaf coral";1851;1DD5zvg_;21;1
"purple ivory bush coral, whitish pillar coral and leaf coral";2235;1DD5zvg_;51;1
"coral reef with brownish plant, bright blue water with small black fishes";2486;1DD5zvg_;3;1
"brain coral and opening clam";2580;1DD5zvg_;1415;0
"brain coral and opening clam, giant barrel sponge, light blue photo";2580;1DD5zvg_;682;0
"small snake head in the middle of the photo surround with sand and grey corals";2685;1DD5zvg_;930;1
"small snake head in the middle of the photo surround with sand and grey corals, smooth mounding coral, bluebanded goby";2685;1DD5zvg_;166;1
"corals and small black fish";4646;1DD5zvg_;1371;0
"smooth mounding coral, threespot damselfish, nassau grouper";4646;1DD5zvg_;18;1
"poorly visible sharks";5541;1DD5zvg_;193;0
"poorly visible blue sharks in lighter blue water";5541;1DD5zvg_;38;1
"shark in darker blue water";5599;1DD5zvg_;316;1
"two blue shark in darker blue water";5599;1DD5zvg_;29;1
"two rays";8931;1DD5zvg_;526;0
"two spotted eagle ray above whitish sand";8931;1DD5zvg_;51;1
"brownish ivory bush coral";9828;1DD5zvg_;5132;0
"brownish ivory bush coral bottom of the sea, seagrass bed, bamboo coral";9828;1DD5zvg_;2614;1
"shipwreck";10759;1DD5zvg_;294;1
"shipwreck, windows and small tuna";10759;1DD5zvg_;10;1
"diver near big turtle";14198;1DD5zvg_;1900;0
"diver near turtle lying on sea floor and banded butterflyfish";14198;1DD5zvg_;163;0
"blackish parrot fish and brain coral";16545;1DD5zvg_;593;1
"grey parrotfish with white spots near small brain coral";16545;1DD5zvg_;122;1
"two sharks lying on sandy sea bed";17862;1DD5zvg_;333;1
"nurse shark, lemon shark, whitetip reef shark lying on whitish sand sea bed";17862;1DD5zvg_;36;1
"coral reef with small black bluetail fishes";2549;1DD5zvg_;4065;0
"pillar coral reef with small black fishes with blue tails";2549;1DD5zvg_;3640;0
"whitish sand with black sea cucumber";2585;1DD5zvg_;15;1
"brain coral and yellow and blue striped fish and yellow fish";2658;1DD5zvg_;2;1
"black ray";2742;1DD5zvg_;971;0
"black giant manta ray near rock";2742;1DD5zvg_;99;1
"parrot fish";2785;1DD5zvg_;21;1
"turtle near coral reef";2809;1DD5zvg_;33;1
"pillar coral with small yellow fish and diver in background";3415;1DD5zvg_;3119;0
"pillar coral with small yellow fish, sea anemone, bamboo coral, grooved brain coral, two divers in background";3415;1DD5zvg_;1030;1
"bright yellow fish in cave";3951;1DD5zvg_;130;0
"bright yellow fishes in cave, green moray eel";3951;1DD5zvg_;17;1
"bright blue moray eel opening mouth";4022;1DD5zvg_;1;1
"small black fishes swimming up near rock reef";4481;1DD5zvg_;18;1
"a lot of brownish fishes";4999;1DD5zvg_;167;1
"a lot of brownish striped mullet";4999;1DD5zvg_;15;1
"small brown and white creature with short tentacles near grey sand";5025;1DD5zvg_;653;0
"small brown and white creature with mandibles near grey sand";5025;1DD5zvg_;178;0
"orange weird fish";5104;1DD5zvg_;212;1
"oyster toadfish, scarlet frogfish, yellow tube sponge";5104;1DD5zvg_;23;1
"bright blue photo of white spotted shark";5282;1DD5zvg_;722;0
"bright light blue photo of white spotted whale shark";5282;1DD5zvg_;45;1
"moray eel eating lobster";5358;1DD5zvg_;160;0
"green moray eel eating lobster between whitish rocks, bigeye cardinalfish";5358;1DD5zvg_;34;1
"shark and four divers";5413;1DD5zvg_;310;0
"shark and four divers near white sand";5413;1DD5zvg_;148;1
"shark in spotlight";5432;1DD5zvg_;42;1
"orange fishes under rock";6114;1DD5zvg_;2;1
"clown fish";6231;1DD5zvg_;2;1
"giant kelp";6257;1DD5zvg_;69;1
"giant kelp, bamboo coral";6257;1DD5zvg_;39;1
"yellowish coral with blueish ends";6295;1DD5zvg_;296;1
"moving yellowish coral with blueish ends, stanghorn coral, bamboo coral";6295;1DD5zvg_;211;1
"rocky reef with small black thorny creature";7346;1DD5zvg_;67;1
"rocky reef with two small black crown of thorns starfish";7346;1DD5zvg_;59;1
"three greyish rays lying in sand";8740;1DD5zvg_;4;1
"two spotted rays";8912;1DD5zvg_;170;1
"two spotted eagle rays near ocean bed";8912;1DD5zvg_;27;1
"fattish fish lying under rock";9368;1DD5zvg_;12;1
"spotted moray eel under coral reef";9487;1DD5zvg_;23;1
"blue and yellow fish near coral reef";9600;1DD5zvg_;10;1
"turtle near brown corals";9772;1DD5zvg_;734;0
"hawksbill turtle form behind near brown corals and rocks";9772;1DD5zvg_;516;1
"shipwreck with windows";10739;1DD5zvg_;162;1
"kind of inside shipwreck with windows";10739;1DD5zvg_;44;1
"white black spotted fish above white sandy ocean bed";11643;1DD5zvg_;144;0
"white black spotted porcupinefish above white sandy ocean bed";11643;1DD5zvg_;6;1
"striped white and brown fish above sand, brownish photo";12525;1DD5zvg_;23;1
"octopus lying in sand";12785;1DD5zvg_;14;1
"bush coral in spotlight";12829;1DD5zvg_;372;0
"giant barrel sponge in spotlight";12829;1DD5zvg_;1;1
"orange creature above greyish sand with pillar coral";12906;1DD5zvg_;1630;0
"orange and white creature above greyish sand";12906;1DD5zvg_;145;0
"hand holding round creature";13252;1DD5zvg_;97;1
"hand holding round creature, eccentric sand dollar";13252;1DD5zvg_;6;1
"orange clownfish";13333;1DD5zvg_;7;1
"sea star";13947;1DD5zvg_;10;1
"giant barrel sponge";14346;1DD5zvg_;2313;0
"part of giant barrel sponge looking to middle of it";14346;1DD5zvg_;996;1
"purple leafy corals from detail";14417;1DD5zvg_;89;0
"purple stanghorn corals from detail";14417;1DD5zvg_;57;1
"giant barrel sponge";15450;1DD5zvg_;22;1
"giant black ray next to rock";16631;1DD5zvg_;456;1
"giant black manta ray next to rock";16631;1DD5zvg_;22;1
"a lot of small blue fishes with yellowish fins";16673;1DD5zvg_;97;1
"a lot of small blue fishes with yellowish fins, atlantic spadefish";16673;1DD5zvg_;43;1
"kelp forest";21412;1DD5zvg_;8;1
