00001;[1095, 3934, 2333, 5925, 3942, 6705, 839, 2407, 6696, 5271]
00002;[1095, 3934, 6705, 5925, 2333, 3942, 6696, 5049, 4710, 839]
00003;[5159, 5156, 5157, 3252, 6067, 5104, 1957, 2408, 5819, 4328]
00004;[6689, 2439, 2440, 2848, 859, 6649, 1995, 2162, 3563, 5159]
00005;[2439, 6689, 290, 6067, 3563, 2440, 4898, 6647, 2932, 5070]
00006;[2439, 5819, 6689, 5103, 5936, 3563, 1497, 2440, 4867, 487]
00007;[2439, 6689, 2932, 6067, 6649, 2440, 859, 2848, 166, 2347]
00008;[5841, 2784, 6689, 1169, 2439, 2246, 6067, 6647, 2440, 5159]
00009;[2439, 2440, 6689, 6649, 3563, 2105, 1995, 6647, 2848, 3272]
00010;[2439, 6689, 2440, 3563, 1974, 1995, 6742, 6649, 3843, 5613]
00011;[2440, 5932, 2774, 2987, 5950, 2439, 2384, 6429, 5928, 2251]
00012;[4157, 4208, 1974, 808, 3563, 2384, 2434, 1973, 503, 1640]
00013;[5159, 5841, 6647, 5590, 3252, 1169, 5156, 3300, 5158, 5157]
00014;[5841, 5590, 2428, 2855, 5159, 4213, 4166, 6435, 2339, 2429]
00015;[2440, 2439, 2601, 6435, 5613, 5842, 6274, 2755, 5819, 2105]
00016;[2439, 2440, 6274, 3531, 5842, 5613, 5126, 3563, 3639, 3976]
00017;[2439, 2440, 5159, 5841, 2987, 4101, 6689, 5158, 4106, 6649]
00018;[5841, 5590, 2251, 2914, 4828, 4588, 1962, 1984, 1770, 6647]
00019;[2907, 5841, 2251, 5590, 2273, 5513, 5527, 1962, 2982, 5126]
00020;[5513, 2907, 2273, 5841, 2251, 5527, 5514, 5512, 6768, 2186]
00021;[2043, 5718, 3563, 1663, 224, 2439, 890, 3683, 2440, 6689]
00022;[2043, 5718, 1663, 224, 3563, 890, 4972, 2439, 2987, 6650]
00023;[2266, 5013, 2528, 2599, 3432, 6647, 2246, 1169, 2398, 2907]
00024;[2266, 3432, 2599, 1962, 4588, 2907, 2528, 4944, 6647, 738]
00025;[3563, 2848, 3376, 2439, 2440, 1015, 506, 5102, 2895, 3531]
00026;[3563, 5841, 6239, 2439, 2440, 4101, 2895, 4213, 668, 2894]
00027;[5613, 2390, 3639, 2848, 6620, 6689, 1995, 2440, 3681, 5936]
00028;[2848, 6689, 1995, 2440, 3639, 5613, 2439, 5842, 3563, 6620]
00029;[2439, 6689, 2440, 3563, 5613, 566, 2848, 1136, 5936, 1330]
00030;[2439, 2440, 6689, 5613, 2848, 3563, 2854, 6649, 1995, 1330]
00031;[6689, 2439, 2440, 2784, 290, 4588, 2907, 6067, 6649, 2848]
00032;[290, 2440, 2439, 6689, 4588, 5271, 5906, 3934, 3563, 5723]
00033;[2440, 2439, 6689, 4588, 2953, 5906, 6283, 5723, 1169, 1727]
00034;[2440, 290, 2439, 6689, 5126, 4588, 5271, 2339, 5925, 4206]
00035;[2440, 4006, 290, 3271, 2439, 5925, 4588, 3563, 2339, 6283]
00036;[4627, 5956, 290, 6333, 2040, 2440, 2339, 6248, 2439, 1635]
00037;[3563, 2440, 2907, 2439, 290, 3934, 4588, 5271, 6543, 2339]
00038;[855, 2439, 623, 2429, 3563, 2274, 6767, 6764, 1952, 1818]
00039;[449, 566, 2347, 3376, 2439, 2440, 6687, 4479, 3563, 3562]
00040;[2440, 2439, 449, 3376, 2347, 1330, 3563, 566, 6689, 3562]
00041;[6767, 264, 4588, 290, 487, 3272, 893, 4046, 1656, 1537]
00042;[4588, 6767, 264, 290, 855, 5995, 1745, 623, 5440, 2528]
00043;[2907, 290, 4046, 6767, 264, 3272, 855, 4588, 2714, 2272]
00044;[2848, 3563, 5842, 449, 2440, 6687, 6445, 2439, 3531, 3562]
00045;[449, 566, 2045, 4083, 2344, 6274, 3965, 3476, 2347, 6345]
00046;[2042, 2907, 4109, 4366, 6767, 3695, 855, 1967, 4127, 2581]
00047;[5440, 5906, 2528, 5472, 5546, 2439, 5528, 3392, 855, 2932]
00048;[5236, 920, 2125, 6274, 1526, 6711, 3223, 2818, 5141, 1586]
00049;[5841, 2987, 6239, 2439, 2440, 6227, 5159, 2895, 6543, 3563]
00050;[5087, 2440, 6239, 5085, 2439, 3563, 554, 2932, 546, 2987]
00051;[2987, 2440, 2439, 2722, 5159, 2932, 290, 5906, 6239, 5087]
00052;[2987, 2722, 2439, 2440, 3563, 5087, 6239, 3683, 5554, 2274]
00053;[2439, 290, 3563, 2440, 694, 6689, 2784, 2791, 2932, 2987]
00054;[2440, 3563, 2439, 2987, 6689, 2722, 6649, 2848, 2791, 3683]
00055;[2439, 5159, 6689, 2932, 2987, 2440, 694, 5841, 6067, 3563]
00056;[1951, 3563, 2, 2440, 3236, 2439, 1928, 6436, 4451, 877]
00057;[2440, 2, 3236, 3563, 4451, 2439, 6305, 6436, 6227, 877]
00058;[4106, 2439, 3563, 2440, 1656, 4366, 3272, 6767, 676, 6649]
00059;[4106, 2791, 2439, 2957, 6339, 623, 2266, 3563, 676, 3683]
00060;[2042, 2907, 1391, 6767, 264, 3956, 5440, 6407, 2517, 4428]
00061;[2895, 6767, 2528, 1984, 623, 2907, 4310, 3271, 2439, 855]
00062;[3563, 2440, 2439, 623, 1330, 2492, 2791, 2614, 2347, 2848]
